year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category
1931,1932,5,DIRECTING,DIRECTING,Frank Borzage,Bad Girl,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Grand Hotel,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Edwin Burke,Bad Girl,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Charles Laughton,The Private Life of Henry VIII,TRUE,Actor in a Leading Role
,,,,,,,,
1932,1933,6,ACTRESS,ACTRESS IN A LEADING ROLE,Katharine Hepburn,Morning Glory,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1932,1933,6,DIRECTING,DIRECTING,Frank Lloyd,Cavalcade,TRUE,Directing
,,,,,,,,
,,,,,,,,
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,Cavalcade,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1932,1933,6,WRITING (Adaptation),WRITING (Adapted Screenplay),Victor Heerman/Sarah Y. Mason,Little Women,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1934,1935,7,ACTOR,ACTOR IN A LEADING ROLE,Clark Gable,It Happened One Night,TRUE,Actor in a Leading Role
,,,,,,,,
,,,,,,,,
1934,1935,7,ACTRESS,ACTRESS IN A LEADING ROLE,Claudette Colbert,It Happened One Night,TRUE,Actress in a Leading Role
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1934,1935,7,DIRECTING,DIRECTING,Frank Capra,It Happened One Night,TRUE,Directing
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1934,1935,7,OUTSTANDING PRODUCTION,BEST PICTURE,Columbia,It Happened One Night,TRUE,Best Picture
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1934,1935,7,WRITING (Adaptation),WRITING (Adapted Screenplay),Robert Riskin,It Happened One Night,TRUE,Writing (Adapted Screenplay)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
